"Weekly Measles Incidence, 1928-2003"
"Data provided by Project Tycho, Data Version 1.0.0, released 28 November 2013."
YEAR,WEEK,ALABAMA,ALASKA,ARIZONA,ARKANSAS,CALIFORNIA,COLORADO,CONNECTICUT,DELAWARE,DISTRICT OF COLUMBIA,FLORIDA,GEORGIA,HAWAII,IDAHO,ILLINOIS,INDIANA,IOWA,KANSAS,KENTUCKY,LOUISIANA,MAINE,MARYLAND,MASSACHUSETTS,MICHIGAN,MINNESOTA,MISSISSIPPI,MISSOURI,MONTANA,NEBRASKA,NEVADA,NEW HAMPSHIRE,NEW JERSEY,NEW MEXICO,NEW YORK,NORTH CAROLINA,NORTH DAKOTA,OHIO,OKLAHOMA,OREGON,PENNSYLVANIA,RHODE ISLAND,SOUTH CAROLINA,SOUTH DAKOTA,TENNESSEE,TEXAS,UTAH,VERMONT,VIRGINIA,WASHINGTON,WEST VIRGINIA,WISCONSIN,WYOMING
1928,1,3.67,-,1.90,4.11,1.38,8.38,4.50,8.58,-,0.21,1.17,-,-,0.50,1.34,0.16,0.81,3.08,1.89,4.52,10.87,25.66,5.68,0.31,-,1.19,0.18,1.60,-,-,3.55,14.90,7.60,47.86,-,2.51,4.86,4.91,6.97,1.18,42.04,5.69,22.03,1.18,0.40,0.28,-,14.83,3.36,1.54,0.91
1928,2,6.25,-,6.40,9.91,1.80,6.02,9.00,7.30,-,0.49,5.96,-,0.45,0.77,2.71,-,1.35,1.99,3.00,7.40,15.47,28.50,7.59,0.23,-,0.83,0.18,0.29,-,-,4.74,11.06,9.65,119.70,0.15,-,2.56,4.91,8.74,0.74,83.90,6.57,16.96,0.63,-,0.56,-,17.34,4.19,0.96,-
1928,3,7.95,-,4.50,11.15,1.31,2.86,8.81,15.88,-,0.42,-,-,0.45,0.61,1.71,-,1.41,5.26,2.33,6.78,21.43,34.76,9.39,0.15,-,1.69,0.74,0.36,-,-,6.68,14.90,8.54,110.90,1.20,4.86,6.27,3.63,8.12,2.65,77.46,2.04,24.66,0.62,0.20,1.12,-,15.67,4.19,4.79,1.36
1928,4,12.58,-,1.90,13.75,1.87,13.71,10.40,4.29,4.18,0.91,8.65,-,-,0.81,4.11,3.51,1.14,5.49,4.02,9.41,22.67,31.28,8.66,0.12,-,1.58,-,0.44,-,14.53,6.78,27.64,9.32,131.60,3.91,4.40,4.74,2.24,8.39,0.15,64.75,2.19,18.86,0.37,0.20,6.70,-,12.77,4.66,1.64,3.64
1928,5,8.03,-,0.47,20.79,2.38,5.13,16.80,5.58,4.59,0.49,10.82,-,0.22,1.11,2.49,3.06,1.51,7.99,10.27,7.90,31.30,35.24,9.84,0.31,-,2.22,-,0.22,-,3.42,9.25,37.74,10.64,119.01,0.90,6.13,4.61,4.59,15.17,1.03,74.99,3.94,20.05,1.57,0.40,6.70,-,18.83,7.37,2.91,0.91
1928,6,7.27,-,6.40,26.58,2.79,8.09,17.76,3.43,7.52,1.67,6.75,-,-,1.33,5.04,2.65,1.19,11.53,9.54,5.52,34.97,37.89,4.09,0.08,-,2.69,0.55,0.22,-,15.60,10.66,36.30,12.60,153.60,2.56,5.33,5.72,4.91,11.52,0.74,82.12,2.04,12.54,3.44,0.60,1.12,-,17.73,5.01,3.25,10.45
1928,7,10.00,-,0.95,32.76,2.73,3.94,20.16,4.29,12.73,1.33,7.37,-,-,1.36,4.39,2.29,1.68,9.86,8.04,3.64,43.23,43.47,12.26,0.19,-,3.69,-,0.22,-,10.26,11.37,39.18,14.85,-,0.60,6.40,9.39,8.33,13.50,3.83,82.23,3.07,17.42,2.08,0.20,1.68,-,17.92,6.96,1.61,6.82
1928,8,13.83,-,1.66,36.44,2.83,4.34,22.70,1.72,-,1.12,11.20,-,-,2.06,4.70,2.65,3.89,9.47,13.28,5.77,46.58,40.10,11.40,0.08,-,4.42,0.37,0.51,-,-,19.91,34.38,14.30,125.79,-,8.14,10.20,7.69,10.68,9.29,73.03,4.09,18.06,2.34,0.60,1.12,-,17.99,7.02,2.74,-
1928,9,11.06,-,0.95,33.89,3.84,2.96,22.70,3.43,23.59,0.77,11.06,-,-,1.99,5.92,0.65,2.27,9.39,11.97,4.39,62.86,47.26,24.33,0.50,-,5.11,0.55,0.58,-,7.05,19.51,40.38,18.17,119.79,1.05,7.49,10.96,10.47,19.02,4.28,71.13,5.69,7.66,11.82,0.20,5.87,-,23.40,5.13,3.04,4.55
1928,10,13.98,-,4.03,29.18,5.31,4.04,23.91,4.29,-,2.23,8.13,-,-,1.97,5.45,1.47,2.59,4.99,15.26,6.65,59.07,39.25,16.72,1.58,-,6.64,-,0.58,-,3.63,25.10,29.09,16.47,118.82,0.60,14.13,16.85,2.56,9.43,10.18,72.23,2.92,12.88,7.74,0.79,13.13,-,19.86,11.62,4.11,50.00
1928,11,18.79,-,7.35,20.84,3.50,3.35,25.24,6.44,-,3.35,6.44,-,-,3.43,6.20,1.18,3.89,10.87,12.94,8.28,73.85,44.11,34.71,3.86,-,5.55,0.18,1.09,-,3.42,28.50,-,20.46,105.32,-,13.09,13.87,12.29,14.44,11.80,58.65,2.04,11.36,2.20,0.40,8.66,-,17.60,6.60,4.58,25.45
1928,12,22.20,-,6.40,27.40,4.38,2.47,19.09,9.01,38.00,4.88,3.62,-,-,3.06,8.72,1.47,4.70,9.35,18.12,4.14,72.24,44.32,32.93,3.16,-,9.41,0.18,5.03,-,3.42,32.94,34.13,21.97,106.75,-,16.21,12.24,13.35,13.72,13.42,54.63,-,10.71,8.65,2.18,27.37,-,17.92,7.08,3.63,20.45
1928,13,21.97,-,7.82,30.10,3.44,4.34,20.10,8.15,-,4.61,8.92,-,-,2.38,6.35,2.24,6.22,15.54,12.11,9.16,63.35,45.77,29.50,4.28,-,-,0.37,2.70,-,6.62,36.34,38.46,23.37,94.52,0.30,14.62,18.90,7.37,14.99,30.09,43.99,5.69,10.40,2.13,0.99,24.58,-,12.44,5.19,5.10,17.73
